datetime,node,values,units,dataset,region
1933-01-01T00:00:00.000000,C_CSL004B,33.98932865405882,CFS,delta_diversions_total,north_delta
1933-02-01T00:00:00.000000,C_CSL004B,59.380637873229254,CFS,delta_diversions_total,north_delta
1933-03-01T00:00:00.000000,C_CSL004B,47.20439326618468,CFS,delta_diversions_total,north_delta
1933-04-01T00:00:00.000000,C_CSL004B,24.327684301769047,CFS,delta_diversions_total,north_delta
1933-05-01T00:00:00.000000,C_CSL004B,83.08260747476095,CFS,delta_diversions_total,north_delta
1933-06-01T00:00:00.000000,C_CSL004B,73.04216942195163,CFS,delta_diversions_total,north_delta
1933-07-01T00:00:00.000000,C_CSL004B,67.67818210698368,CFS,delta_diversions_total,north_delta
1933-08-01T00:00:00.000000,C_CSL004B,61.495095207300935,CFS,delta_diversions_total,north_delta
1933-09-01T00:00:00.000000,C_CSL004B,61.95092853340645,CFS,delta_diversions_total,north_delta
1933-10-01T00:00:00.000000,C_CSL004B,64.00536512464433,CFS,delta_diversions_total,north_delta
1933-11-01T00:00:00.000000,C_CSL004B,47.57424781534646,CFS,delta_diversions_total,north_delta
1933-12-01T00:00:00.000000,C_CSL004B,71.55769059203703,CFS,delta_diversions_total,north_delta
1934-01-01T00:00:00.000000,C_CSL004B,57.65929365392119,CFS,delta_diversions_total,north_delta
1934-02-01T00:00:00.000000,C_CSL004B,85.01946252502597,CFS,delta_diversions_total,north_delta
1934-03-01T00:00:00.000000,C_CSL004B,49.54577510425096,CFS,delta_diversions_total,north_delta
1934-04-01T00:00:00.000000,C_CSL004B,53.8080824645274,CFS,delta_diversions_total,north_delta
1934-05-01T00:00:00.000000,C_CSL004B,92.92005078141693,CFS,delta_diversions_total,north_delta
1934-06-01T00:00:00.000000,C_CSL004B,73.04216942195161,CFS,delta_diversions_total,north_delta
1934-07-01T00:00:00.000000,C_CSL004B,67.67818210698366,CFS,delta_diversions_total,north_delta
1934-08-01T00:00:00.000000,C_CSL004B,58.334566533256854,CFS,delta_diversions_total,north_delta
1934-09-01T00:00:00.000000,C_CSL004B,58.91792379358546,CFS,delta_diversions_total,north_delta
1934-10-01T00:00:00.000000,C_CSL004B,67.27124475448989,CFS,delta_diversions_total,north_delta
1934-11-01T00:00:00.000000,C_CSL004B,47.574247815346475,CFS,delta_diversions_total,north_delta
1934-12-01T00:00:00.000000,C_CSL004B,49.998053536160086,CFS,delta_diversions_total,north_delta
1935-01-01T00:00:00.000000,C_CSL004B,38.18823152027194,CFS,delta_diversions_total,north_delta
1935-02-01T00:00:00.000000,C_CSL004B,76.99981771300153,CFS,delta_diversions_total,north_delta
1935-03-01T00:00:00.000000,C_CSL004B,46.62214574364161,CFS,delta_diversions_total,north_delta
1935-04-01T00:00:00.000000,C_CSL004B,48.85636846000394,CFS,delta_diversions_total,north_delta
1935-05-01T00:00:00.000000,C_CSL004B,91.0956003283515,CFS,delta_diversions_total,north_delta
1935-06-01T00:00:00.000000,C_CSL004B,100.93555632365141,CFS,delta_diversions_total,north_delta
1935-07-01T00:00:00.000000,C_CSL004B,82.85621420033038,CFS,delta_diversions_total,north_delta
1935-08-01T00:00:00.000000,C_CSL004B,94.94085903670111,CFS,delta_diversions_total,north_delta
1935-09-01T00:00:00.000000,C_CSL004B,106.08204606944143,CFS,delta_diversions_total,north_delta
1935-10-01T00:00:00.000000,C_CSL004B,102.67425425021817,CFS,delta_diversions_total,north_delta
1935-11-01T00:00:00.000000,C_CSL004B,104.6644368698667,CFS,delta_diversions_total,north_delta
1935-12-01T00:00:00.000000,C_CSL004B,80.37564725292404,CFS,delta_diversions_total,north_delta
1936-01-01T00:00:00.000000,C_CSL004B,100.58187783043778,CFS,delta_diversions_total,north_delta
1936-02-01T00:00:00.000000,C_CSL004B,115.92303972821468,CFS,delta_diversions_total,north_delta
1936-03-01T00:00:00.000000,C_CSL004B,392.3815146924141,CFS,delta_diversions_total,north_delta
1936-04-01T00:00:00.000000,C_CSL004B,166.1097374251411,CFS,delta_diversions_total,north_delta
1936-05-01T00:00:00.000000,C_CSL004B,75.34262156488182,CFS,delta_diversions_total,north_delta
1936-06-01T00:00:00.000000,C_CSL004B,63.037586891740666,CFS,delta_diversions_total,north_delta
1936-07-01T00:00:00.000000,C_CSL004B,82.9952495226655,CFS,delta_diversions_total,north_delta
1936-08-01T00:00:00.000000,C_CSL004B,94.96254876671071,CFS,delta_diversions_total,north_delta
1936-09-01T00:00:00.000000,C_CSL004B,106.80986080872128,CFS,delta_diversions_total,north_delta
1936-10-01T00:00:00.000000,C_CSL004B,103.94461884306357,CFS,delta_diversions_total,north_delta
1936-11-01T00:00:00.000000,C_CSL004B,98.1859220290868,CFS,delta_diversions_total,north_delta
1936-12-01T00:00:00.000000,C_CSL004B,82.77566218798131,CFS,delta_diversions_total,north_delta
1937-01-01T00:00:00.000000,C_CSL004B,81.6534276390466,CFS,delta_diversions_total,north_delta
1937-02-01T00:00:00.000000,C_CSL004B,115.92303972821465,CFS,delta_diversions_total,north_delta
1937-03-01T00:00:00.000000,C_CSL004B,99.73856702511114,CFS,delta_diversions_total,north_delta
1937-04-01T00:00:00.000000,C_CSL004B,97.13274066135821,CFS,delta_diversions_total,north_delta
1937-05-01T00:00:00.000000,C_CSL004B,149.11272170571056,CFS,delta_diversions_total,north_delta
1937-06-01T00:00:00.000000,C_CSL004B,372.3876353221227,CFS,delta_diversions_total,north_delta
1937-07-01T00:00:00.000000,C_CSL004B,83.76788415821714,CFS,delta_diversions_total,north_delta
1937-08-01T00:00:00.000000,C_CSL004B,95.7816319943015,CFS,delta_diversions_total,north_delta
1937-09-01T00:00:00.000000,C_CSL004B,110.38330312231356,CFS,delta_diversions_total,north_delta
1937-10-01T00:00:00.000000,C_CSL004B,114.02344248625026,CFS,delta_diversions_total,north_delta
1937-11-01T00:00:00.000000,C_CSL004B,100.28849007568743,CFS,delta_diversions_total,north_delta
1937-12-01T00:00:00.000000,C_CSL004B,123.01054245190448,CFS,delta_diversions_total,north_delta
1938-01-01T00:00:00.000000,C_CSL004B,77.80046455334136,CFS,delta_diversions_total,north_delta
1938-02-01T00:00:00.000000,C_CSL004B,290.8597811731097,CFS,delta_diversions_total,north_delta
1938-03-01T00:00:00.000000,C_CSL004B,269.7453583814151,CFS,delta_diversions_total,north_delta
1938-04-01T00:00:00.000000,C_CSL004B,124.91902017930403,CFS,delta_diversions_total,north_delta
1938-05-01T00:00:00.000000,C_CSL004B,79.12950939710838,CFS,delta_diversions_total,north_delta
1938-06-01T00:00:00.000000,C_CSL004B,90.13796607669563,CFS,delta_diversions_total,north_delta
1938-07-01T00:00:00.000000,C_CSL004B,108.95227169054046,CFS,delta_diversions_total,north_delta
1938-08-01T00:00:00.000000,C_CSL004B,104.10109160095398,CFS,delta_diversions_total,north_delta
1938-09-01T00:00:00.000000,C_CSL004B,117.32038630806669,CFS,delta_diversions_total,north_delta
1938-10-01T00:00:00.000000,C_CSL004B,113.80968251143193,CFS,delta_diversions_total,north_delta
1938-11-01T00:00:00.000000,C_CSL004B,118.40063161491214,CFS,delta_diversions_total,north_delta
1938-12-01T00:00:00.000000,C_CSL004B,112.84437111625786,CFS,delta_diversions_total,north_delta
1939-01-01T00:00:00.000000,C_CSL004B,91.1780588843364,CFS,delta_diversions_total,north_delta
1939-02-01T00:00:00.000000,C_CSL004B,321.86600347372166,CFS,delta_diversions_total,north_delta
1939-03-01T00:00:00.000000,C_CSL004B,81.71759524319931,CFS,delta_diversions_total,north_delta
1939-04-01T00:00:00.000000,C_CSL004B,53.663537067474294,CFS,delta_diversions_total,north_delta
1939-05-01T00:00:00.000000,C_CSL004B,107.67650931785927,CFS,delta_diversions_total,north_delta
1939-06-01T00:00:00.000000,C_CSL004B,128.8707069502615,CFS,delta_diversions_total,north_delta
1939-07-01T00:00:00.000000,C_CSL004B,141.77687303820835,CFS,delta_diversions_total,north_delta
